time,tp,olr,str,u10,v10,d2m,t2m,msl,sst,z,tcwv,v100,u100,Wind_Speed_10m,Wind_Speed_100m
2012-04-05 06:00:00,1.4305115e-06,824889.0,-123883.44,-4.576248,-2.9055328,1.6838074,4.8022156,1018.27374,,-1.4674817,11.883622,-3.9052277,-6.611923,5.420717,7.679084
2012-04-07 06:00:00,5.722046e-05,810969.0,-174353.06,-0.054870605,-4.5226135,2.3204956,4.8058167,1008.45,,-1.4674817,9.62204,-6.347702,-0.1917572,4.5229464,6.3505974
2012-04-09 06:00:00,0.00018978119,663905.0,-81720.375,4.3600006,2.8178558,7.3193665,8.171661,1001.59686,,-1.4674817,16.638159,3.9533997,7.202484,5.191331,8.216152
2012-04-11 06:00:00,4.7683716e-07,878708.0,-290724.06,3.0263672,3.4536896,5.341156,6.464508,996.0563,,-1.4674817,10.054381,4.839859,5.0614014,4.5920444,7.0030007
2012-04-13 06:00:00,8.106232e-06,853462.0,-114619.0,1.102417,-1.0616608,4.1665344,5.499298,1004.89,,-1.4674817,10.7356415,-1.8598633,1.3085785,1.5305054,2.2740865
2012-04-15 06:00:00,6.67572e-06,852607.0,-235640.25,-0.7381592,-6.3635864,3.2362366,6.353668,1012.65,,-1.4674817,9.405996,-9.049652,-1.2969666,6.4062557,9.142118
2012-04-17 06:00:00,0.0,706316.0,-242220.12,-0.63783264,5.4235077,0.25582886,3.3418274,1012.3269,,-1.4674817,8.615156,8.314545,0.01576233,5.460885,8.31456
2012-04-19 06:00:00,1.0967255e-05,821049.0,-83360.44,-1.3528137,6.3871613,5.391693,7.560669,985.88873,,-1.4674817,13.6078615,9.5078125,-1.3665009,6.528854,9.60551
2012-04-21 06:00:00,0.00044727325,706537.0,-159674.69,0.20779419,4.9470367,5.0367126,6.3276978,995.1919,,-1.4674817,12.497261,7.241211,0.7642212,4.951399,7.2814264
2012-04-23 06:00:00,0.00034093857,808695.0,-106890.44,3.0119934,5.2775726,6.129242,7.472107,1000.84,,-1.4674817,12.37765,7.8685303,4.7390747,6.0765843,9.185455
2012-04-25 06:00:00,9.536743e-07,814195.0,-245793.0,-1.064209,4.3129883,5.9672546,7.020355,999.1319,,-1.4674817,9.678702,6.609833,-0.8639679,4.4423428,6.666058
2012-04-27 06:00:00,0.0,763354.0,-226896.0,2.9301147,6.011902,7.4460754,10.152557,1010.77435,,-1.4674817,13.635504,8.839066,4.8672485,6.6879396,10.090549
2012-04-29 06:00:00,0.0001821518,486319.0,-60662.188,-7.8174133,-4.223358,7.5559998,9.360809,1005.15814,,-1.4674817,24.820606,-5.951416,-12.082306,8.885308,13.468536
2012-05-01 06:00:00,0.0002593994,517855.0,-111948.0,-5.751236,-1.8498535,9.443848,12.299469,1015.0581,,-1.4674817,27.369541,-2.2260284,-9.289124,6.0414133,9.552121
2012-05-03 06:00:00,2.7179718e-05,739633.0,-64496.0,0.34291077,1.2837677,10.391693,11.3280945,1011.28876,,-1.4674817,26.395891,2.4175262,1.0187225,1.3287766,2.6234002
2012-05-05 06:00:00,9.536743e-07,752133.0,-156277.5,-2.6307068,-4.2572784,4.838562,8.138428,1006.4075,,-1.4674817,16.841997,-5.5475006,-3.6379852,5.004502,6.6339808
2012-05-07 06:00:00,9.536743e-07,821760.0,-237422.0,-3.0081482,0.75527954,3.8645935,6.5732117,1018.20435,,-1.4674817,11.902541,0.97351074,-4.148926,3.1015162,4.2616086
2012-05-09 06:00:00,7.43866e-05,816406.0,-55403.0,2.8177185,2.6451263,11.957001,12.566711,1008.515,,-1.4674817,23.93144,4.0827484,5.1319885,3.864742,6.5579066
2012-05-11 06:00:00,2.3841858e-05,884805.0,-40921.938,6.4822845,4.4937286,11.812164,13.734497,1016.1219,,-1.4674817,26.174103,6.4284515,9.791077,7.8875604,11.712821
2012-05-13 06:00:00,0.0,896547.0,-339390.0,2.4907684,-0.30903625,4.5056458,7.749359,1033.9918,,-1.4674817,10.079289,-0.7889252,3.3987427,2.5098667,3.4891052
2012-05-15 06:00:00,8.4877014e-05,859195.0,-209102.0,3.6456146,-0.63201904,6.48349,8.770325,1008.5087,,-1.4674817,11.679904,-1.0702057,5.3308563,3.6999938,5.4372206
2012-05-17 06:00:00,0.0,877243.0,-320953.0,1.4571075,2.9285736,5.2986145,8.069214,1022.5694,,-1.4674817,13.905053,3.946579,2.7614136,3.2710404,4.81673
2012-05-19 06:00:00,1.4305115e-06,851268.0,-210841.0,0.9378967,3.3023376,11.103638,12.812775,1010.47314,,-1.4674817,17.888187,5.263489,2.1309967,3.432941,5.6785088
2012-05-21 06:00:00,0.0,943166.0,-259861.0,1.0688629,-4.5637054,12.556793,13.419098,1003.2525,,-1.4674817,22.5553,-6.4533234,0.81811523,4.6872034,6.5049744
2012-05-23 06:00:00,0.0,933968.0,-185150.19,-1.6875153,-1.4247131,15.437103,17.264252,1018.58563,,-1.4674817,31.771114,-1.8155823,-3.3472748,2.2085097,3.8079636
